Latitude,Longitude,GMT,Wind Speed at Hub Height,Air Density at Hub Height,Power Generation
52.0,4.7,2008-05-01 00:00:00,9.963783653959345,1.2315714318303908,2572
52.0,4.7,2008-05-01 01:00:00,9.754698072867479,1.2338133931427033,2572
52.0,4.7,2008-05-01 02:00:00,9.624625020929503,1.2366112496408908,2273
52.0,4.7,2008-05-01 03:00:00,9.485597407152694,1.2393734856454188,2317
52.0,4.7,2008-05-01 04:00:00,9.41055737138935,1.2418929296812133,2317
52.0,4.7,2008-05-01 05:00:00,9.12264155312999,1.240613157543248,1995
52.0,4.7,2008-05-01 06:00:00,8.872205902470874,1.2347014150314968,1955
52.0,4.7,2008-05-01 07:00:00,9.441444363453336,1.2286023839169187,2273
52.0,4.7,2008-05-01 08:00:00,9.65150240335074,1.2256890098760664,2273
52.0,4.7,2008-05-01 09:00:00,9.382707848893505,1.2231829040732498,2273
52.0,4.7,2008-05-01 10:00:00,8.948061413704231,1.221982619198974,1955
52.0,4.7,2008-05-01 11:00:00,8.43842416507994,1.2221181968817296,1653
52.0,4.7,2008-05-01 12:00:00,7.891976998389934,1.2231969658793276,1375
52.0,4.7,2008-05-01 13:00:00,7.357635080536323,1.2239042110310205,1126
52.0,4.7,2008-05-01 14:00:00,6.81740323257913,1.2250209942676658,907
52.0,4.7,2008-05-01 15:00:00,6.115380070977472,1.2253476444364457,554
52.0,4.7,2008-05-01 16:00:00,5.497646039593434,1.2260906287980666,416
52.0,4.7,2008-05-01 17:00:00,4.871758110387595,1.2275546950065006,302
52.0,4.7,2008-05-01 18:00:00,4.818368456434153,1.2318574938826239,302
52.0,4.7,2008-05-01 19:00:00,5.023766160653614,1.235668010652435,302
52.0,4.7,2008-05-01 20:00:00,5.174987654765736,1.2377769779331058,309
52.0,4.7,2008-05-01 21:00:00,5.610410207935908,1.2404827180717686,426
52.0,4.7,2008-05-01 22:00:00,6.015488845419587,1.2430651841984635,567
52.0,4.7,2008-05-01 23:00:00,6.179739074953876,1.2452650370648213,567
52.0,4.7,2008-05-02 00:00:00,6.151294369550198,1.2478775481094102,567
52.0,4.7,2008-05-02 01:00:00,6.011537927286927,1.2502735744153317,567
52.0,4.7,2008-05-02 02:00:00,5.866745601346338,1.2526473874302986,567
52.0,4.7,2008-05-02 03:00:00,5.468825202978725,1.254057181502063,426
52.0,4.7,2008-05-02 04:00:00,4.983655217497801,1.2538407934143394,309
52.0,4.7,2008-05-02 05:00:00,4.53161903862713,1.2513333267368492,213
52.0,4.7,2008-05-02 06:00:00,3.9722544256040524,1.245651229078075,136
52.0,4.7,2008-05-02 07:00:00,4.046470729816241,1.2384177579659326,136
52.0,4.7,2008-05-02 08:00:00,4.433607861706864,1.2331661435204664,207
52.0,4.7,2008-05-02 09:00:00,4.729538554639197,1.2309743116937055,207
52.0,4.7,2008-05-02 10:00:00,4.868734971045064,1.2288799820087373,302
52.0,4.7,2008-05-02 11:00:00,4.704496180549256,1.227102195805973,207
52.0,4.7,2008-05-02 12:00:00,4.440337446388845,1.226776024966663,207
52.0,4.7,2008-05-02 13:00:00,4.141753331763613,1.2268657964363914,132
52.0,4.7,2008-05-02 14:00:00,3.801421772709283,1.2269764515194217,132
52.0,4.7,2008-05-02 15:00:00,3.4739619033549003,1.2279693636703564,73
52.0,4.7,2008-05-02 16:00:00,3.0034550520085608,1.2303262885524269,26
52.0,4.7,2008-05-02 17:00:00,2.543143691125421,1.2340702912043802,26
52.0,4.7,2008-05-02 18:00:00,2.5492181022893385,1.2386016706243814,27
52.0,4.7,2008-05-02 19:00:00,2.8367640691991314,1.2418595823783942,27
52.0,4.7,2008-05-02 20:00:00,3.2699185053194952,1.2457815218123949,75
52.0,4.7,2008-05-02 21:00:00,3.4466888591379825,1.2484994975740933,75
52.0,4.7,2008-05-02 22:00:00,3.4919895846469897,1.2503608300461397,75
52.0,4.7,2008-05-02 23:00:00,3.714189230027412,1.2524359059027548,75
52.0,4.7,2008-05-03 00:00:00,4.083141094816769,1.2542650765826007,136
52.0,4.7,2008-05-03 01:00:00,4.390670865221856,1.2555320608232605,213
52.0,4.7,2008-05-03 02:00:00,4.587943601920661,1.256892997710606,213
52.0,4.7,2008-05-03 03:00:00,4.59303918870717,1.2578149604723945,213
52.0,4.7,2008-05-03 04:00:00,4.64345670810647,1.2577613618116121,213
52.0,4.7,2008-05-03 05:00:00,4.668524743122522,1.2548401849302688,213
52.0,4.7,2008-05-03 06:00:00,4.202132812365069,1.249718037537545,136
52.0,4.7,2008-05-03 07:00:00,4.049664992280489,1.2392031780831227,136
52.0,4.7,2008-05-03 08:00:00,4.532805152469622,1.227299124941305,207
52.0,4.7,2008-05-03 09:00:00,4.52956444977021,1.2220790648305153,207
52.0,4.7,2008-05-03 10:00:00,4.540704095895438,1.219466104485593,207
52.0,4.7,2008-05-03 11:00:00,4.398012242466461,1.2172131755284876,207
52.0,4.7,2008-05-03 12:00:00,4.155357190068248,1.2149877835852072,132
52.0,4.7,2008-05-03 13:00:00,4.05913928183385,1.2137528750476574,132
52.0,4.7,2008-05-03 14:00:00,4.270409681117765,1.213129263188717,207
52.0,4.7,2008-05-03 15:00:00,4.733336850451249,1.2148046943016386,207
52.0,4.7,2008-05-03 16:00:00,5.129336731064338,1.216605603980865,302
52.0,4.7,2008-05-03 17:00:00,5.762852984168106,1.2196515383513464,554
52.0,4.7,2008-05-03 18:00:00,6.843400484581797,1.2247577846866804,907
52.0,4.7,2008-05-03 19:00:00,7.689329036207948,1.2291981137377856,1126
52.0,4.7,2008-05-03 20:00:00,8.080644837451029,1.2333750889904218,1375
52.0,4.7,2008-05-03 21:00:00,8.299938716654633,1.2368594440501002,1653
52.0,4.7,2008-05-03 22:00:00,8.420618318250396,1.2400158378090025,1687
52.0,4.7,2008-05-03 23:00:00,8.360504225156573,1.2439175535317617,1687
52.0,4.7,2008-05-04 00:00:00,8.15070678215442,1.247980091681227,1404
52.0,4.7,2008-05-04 01:00:00,7.879731242035157,1.251136551425828,1404
52.0,4.7,2008-05-04 02:00:00,7.618281072964397,1.2545217646090894,1150
52.0,4.7,2008-05-04 03:00:00,7.141231596042029,1.2566317727501863,926
52.0,4.7,2008-05-04 04:00:00,6.737588715581038,1.2573811430442863,733
52.0,4.7,2008-05-04 05:00:00,6.224887667316534,1.2544151010352675,567
52.0,4.7,2008-05-04 06:00:00,5.370864685128717,1.2472101766678256,426
52.0,4.7,2008-05-04 07:00:00,4.984725485696645,1.2349131435158176,302
52.0,4.7,2008-05-04 08:00:00,5.359846935961423,1.221604786019545,416
52.0,4.7,2008-05-04 09:00:00,5.649245821279002,1.2130664533683062,416
52.0,4.7,2008-05-04 10:00:00,5.44208399720778,1.2078246829366859,407
52.0,4.7,2008-05-04 11:00:00,5.118493448273978,1.2048613157692811,294
52.0,4.7,2008-05-04 12:00:00,4.983082129087959,1.203003096954353,294
52.0,4.7,2008-05-04 13:00:00,5.1345517321278535,1.202063780366601,294
52.0,4.7,2008-05-04 14:00:00,5.471741302224121,1.202160311265972,407
52.0,4.7,2008-05-04 15:00:00,5.7547647832871585,1.2033235157993807,542
52.0,4.7,2008-05-04 16:00:00,5.838152694626781,1.2058072046444361,542
52.0,4.7,2008-05-04 17:00:00,6.182918454761258,1.210321755272657,542
52.0,4.7,2008-05-04 18:00:00,7.098118451645271,1.2165785045687563,907
52.0,4.7,2008-05-04 19:00:00,8.043604675850471,1.2229188593404143,1375
52.0,4.7,2008-05-04 20:00:00,8.578752064425972,1.2285606047956852,1653
52.0,4.7,2008-05-04 21:00:00,8.826591577943098,1.2338413540244597,1955
52.0,4.7,2008-05-04 22:00:00,8.830017690992758,1.2391818955525047,1995
52.0,4.7,2008-05-04 23:00:00,8.621017157450952,1.2439023611204287,1687
52.0,4.7,2008-05-05 00:00:00,8.266163833804304,1.2476811037420805,1687
52.0,4.7,2008-05-05 01:00:00,7.86545014705318,1.2510236138854176,1404
52.0,4.7,2008-05-05 02:00:00,7.534702180398592,1.254731243520271,1150
52.0,4.7,2008-05-05 03:00:00,7.1017676903164055,1.2574172809210973,926
