Latitude,Longitude,GMT,AST,Direct Tilted Irradiance,Diffused Tilted Irradiance,Cell Temperature,Panel Efficiency,Power Generation
52.0,4.7,2008-03-01 00:00:00,0.6013975560518035,-0.0,0.0,10.333001708984398,0.12820177939104693,0.0
52.0,4.7,2008-03-01 01:00:00,1.6013975560518035,-0.0,0.0,10.479180908203148,0.1280955503559619,0.0
52.0,4.7,2008-03-01 02:00:00,2.6013975560518037,-0.0,0.0,10.207604980468773,0.12829290571780355,0.0
52.0,4.7,2008-03-01 03:00:00,3.6013975560518037,-0.0,0.0,9.389947509765648,0.1288871008194805,0.0
52.0,4.7,2008-03-01 04:00:00,4.601397556051803,-0.0,0.0,8.433648681640648,0.12958204717510127,0.0
52.0,4.7,2008-03-01 05:00:00,5.601397556051803,-0.0,0.0,7.600976562500023,0.1301871534845573,0.0
52.0,4.7,2008-03-01 06:00:00,6.601397556051803,1.8036649564064977,7.240668836377781,7.548739858862216,0.1340685941882864,1.282274624728589
52.0,4.7,2008-03-01 07:00:00,7.601397556051803,53.99273013024261,69.42356357864935,10.72636016336063,0.15586470531306673,19.827197311578693
52.0,4.7,2008-03-01 08:00:00,8.601397556051802,69.20879242116784,112.87642362697125,12.919119483074837,0.157605872660079,29.548656237682426
52.0,4.7,2008-03-01 09:00:00,9.601397556051802,112.57898506876448,149.27692863957225,15.769253763389793,0.15709473144115602,42.222908611485316
52.0,4.7,2008-03-01 10:00:00,10.601397556051802,294.6602112292308,160.46448025857478,20.635181652302713,0.15597392595659035,72.47010077188004
52.0,4.7,2008-03-01 11:00:00,11.601397556051802,740.3496426840466,83.46314797487335,29.295992487771777,0.1502820003672567,125.86509117241968
52.0,4.7,2008-03-01 12:00:00,12.601397556051802,760.0864201043145,64.93309207594594,29.71639061410643,0.14998020782587462,125.76255273440738
52.0,4.7,2008-03-01 13:00:00,13.601397556051802,640.763503936233,72.41252958921744,27.22083980411773,0.15185343456382117,110.15983357972134
52.0,4.7,2008-03-01 14:00:00,14.601397556051802,130.55894430581762,106.59443559484056,15.592738199077186,0.1568802749493885,38.02564925822234
52.0,4.7,2008-03-01 15:00:00,15.601397556051802,44.99295605797431,65.79632691619207,11.947279298004927,0.15371707906967447,17.49169062906996
52.0,4.7,2008-03-01 16:00:00,16.601397556051804,11.120952842092006,20.383032316953376,9.216231397761733,0.14054467972455897,4.552237221657853
52.0,4.7,2008-03-01 17:00:00,17.601397556051804,0.0027216273199698123,0.01879454806704257,8.143237674697103,0.1298026569305042,0.0029368576203784268
52.0,4.7,2008-03-01 18:00:00,18.601397556051804,-0.0,0.0,8.069543457031273,0.12984664396374412,0.0
52.0,4.7,2008-03-01 19:00:00,19.601397556051804,-0.0,0.0,7.820733642578148,0.13002745509590447,0.0
52.0,4.7,2008-03-01 20:00:00,20.601397556051804,-0.0,0.0,7.502069091796898,0.13025902995693944,0.0
52.0,4.7,2008-03-01 21:00:00,21.601397556051804,-0.0,0.0,7.358972167968773,0.1303630190896145,0.0
52.0,4.7,2008-03-01 22:00:00,22.601397556051804,-0.0,0.0,7.298028564453148,0.1304073070610268,0.0
52.0,4.7,2008-03-01 23:00:00,0.10139755605180265,-0.0,0.0,7.243371582031273,0.13044702651861284,0.0
52.0,4.7,2008-03-02 00:00:00,0.6048946437992786,-0.0,0.0,7.642175292968773,0.13015721419491957,0.0
52.0,4.7,2008-03-02 01:00:00,1.6048946437992786,-0.0,0.0,8.259881591796898,0.12970832444561778,0.0
52.0,4.7,2008-03-02 02:00:00,2.6048946437992786,-0.0,0.0,9.078576660156273,0.129113375317387,0.0
52.0,4.7,2008-03-02 03:00:00,3.6048946437992786,-0.0,0.0,9.893945312500023,0.12852084350957885,0.0
52.0,4.7,2008-03-02 04:00:00,4.604894643799279,-0.0,0.0,10.388177490234398,0.12816168292018393,0.0
52.0,4.7,2008-03-02 05:00:00,5.604894643799279,-0.0,0.0,10.053430175781273,0.12840494519280343,0.0
52.0,4.7,2008-03-02 06:00:00,6.604894643799279,2.488383812155144,8.068163579753215,9.682275442231328,0.1330963359269972,1.4764462893837285
52.0,4.7,2008-03-02 07:00:00,7.604894643799279,88.7425431321749,69.40267696555337,13.638343761579003,0.15605527831722177,25.31500850786441
52.0,4.7,2008-03-02 08:00:00,8.604894643799279,290.68862421337724,99.50992627309533,20.1016144459403,0.15547738281249115,61.95307151770698
52.0,4.7,2008-03-02 09:00:00,9.604894643799279,503.9294223287235,102.32929311796032,25.965779628034458,0.1531064474918658,94.52367262542332
52.0,4.7,2008-03-02 10:00:00,10.604894643799279,666.4417182964619,85.85593770396855,29.791693640753955,0.1498629449291988,114.6626976733375
52.0,4.7,2008-03-02 11:00:00,11.604894643799279,735.2021232064182,74.44230008522314,31.845532297876332,0.1483836935251089,122.12661598431846
52.0,4.7,2008-03-02 12:00:00,12.604894643799279,712.3915891389275,70.38375846719592,31.55629009930461,0.14855380734853643,118.21889676919152
52.0,4.7,2008-03-02 13:00:00,13.604894643799279,526.5979700139047,84.9691343821475,27.101047928048146,0.1522785855228942,94.75727140483723
52.0,4.7,2008-03-02 14:00:00,14.604894643799279,304.6247404834488,91.98540810006908,21.232222292064066,0.1547311102014451,62.51728272621489
52.0,4.7,2008-03-02 15:00:00,15.604894643799279,103.90400922843344,69.36527779389,14.571807336646675,0.15602434566043674,27.599685684391126
52.0,4.7,2008-03-02 16:00:00,16.604894643799277,13.993680157335477,21.40860514518998,9.436656402315183,0.14148747349624763,5.123393507102756
52.0,4.7,2008-03-02 17:00:00,17.604894643799277,0.008803102424885129,0.048548776777338085,7.523901166750833,0.13026862135885378,0.00784443397595432
52.0,4.7,2008-03-02 18:00:00,18.604894643799277,-0.0,0.0,7.042260742187523,0.13059317460654818,0.0
52.0,4.7,2008-03-02 19:00:00,19.604894643799277,-0.0,0.0,6.573632812500023,0.13093372848186452,0.0
52.0,4.7,2008-03-02 20:00:00,20.604894643799277,-0.0,0.0,6.443444824218773,0.13102833663711977,0.0
52.0,4.7,2008-03-02 21:00:00,21.604894643799277,-0.0,0.0,6.330682373046898,0.13111028158172083,0.0
52.0,4.7,2008-03-02 22:00:00,22.604894643799277,-0.0,0.0,6.312554931640648,0.13112345486916144,0.0
52.0,4.7,2008-03-02 23:00:00,0.10489464379927782,-0.0,0.0,6.466577148437523,0.13101152628041945,0.0
52.0,4.7,2008-03-03 00:00:00,0.6085573307243726,-0.0,0.0,6.216210937500023,0.13119346845241056,0.0
52.0,4.7,2008-03-03 01:00:00,1.6085573307243726,-0.0,0.0,6.154626464843773,0.13123822214610606,0.0
52.0,4.7,2008-03-03 02:00:00,2.6085573307243726,-0.0,0.0,6.517480468750023,0.13097453462477818,0.0
52.0,4.7,2008-03-03 03:00:00,3.6085573307243726,-0.0,0.0,6.373223876953148,0.1310793664930134,0.0
52.0,4.7,2008-03-03 04:00:00,4.608557330724373,-0.0,0.0,5.947381591796898,0.13138882786160969,0.0
52.0,4.7,2008-03-03 05:00:00,5.608557330724373,-0.0,0.0,6.003869628906273,0.13134777776892861,0.0
52.0,4.7,2008-03-03 06:00:00,6.608557330724373,1.0116091786696129,10.325320111959988,6.75467851951992,0.13547305771722087,1.593163281486225
52.0,4.7,2008-03-03 07:00:00,7.608557330724373,40.363781307681556,69.41041756611989,10.340865765300284,0.15481385168808212,17.511259319487937
52.0,4.7,2008-03-03 08:00:00,8.608557330724372,149.88450117026477,119.74071912853125,14.780492631251025,0.15789989387217665,43.634019924922235
52.0,4.7,2008-03-03 09:00:00,9.608557330724372,359.0738184459562,132.87413004174658,20.84408396957485,0.15625152713409912,78.4333925253798
52.0,4.7,2008-03-03 10:00:00,10.608557330724372,547.5698061044877,116.27718322563756,25.41832467607352,0.15336548594037208,103.69154678389435
52.0,4.7,2008-03-03 11:00:00,11.608557330724372,564.009201064078,115.56809894508822,25.61753962077297,0.1531572735438311,105.97153154915867
52.0,4.7,2008-03-03 12:00:00,12.608557330724372,528.8659735013954,108.35318382377329,24.368828161550045,0.1542169380105454,100.1067312256878
52.0,4.7,2008-03-03 13:00:00,13.608557330724372,307.01408747358056,130.18014511072369,18.77377826305008,0.15708853608366893,70.09352523374938
52.0,4.7,2008-03-03 14:00:00,14.608557330724372,271.0314236065727,99.76998496800296,16.82417201091029,0.15759550519529392,59.6708530628885
52.0,4.7,2008-03-03 15:00:00,15.608557330724372,230.90284835787605,61.271460485155124,14.355419512639095,0.1584501137871713,47.29080066277952
52.0,4.7,2008-03-03 16:00:00,16.608557330724373,62.315996862706726,27.9917775577047,7.459986135128125,0.15440725853814713,14.277541337710216
52.0,4.7,2008-03-03 17:00:00,17.608557330724373,0.06434532848124415,0.1550008248823491,3.2966833720731494,0.133412148060355,0.030653939113810435
52.0,4.7,2008-03-03 18:00:00,18.608557330724373,-0.0,0.0,2.5759521484375227,0.13383885973029774,0.0
52.0,4.7,2008-03-03 19:00:00,19.608557330724373,-0.0,0.0,1.7811523437500227,0.1344164440705386,0.0
52.0,4.7,2008-03-03 20:00:00,20.608557330724373,-0.0,0.0,0.9703613281250227,0.13500564929060924,0.0
52.0,4.7,2008-03-03 21:00:00,21.608557330724373,-0.0,0.0,0.45324096679689774,0.1353814428186918,0.0
52.0,4.7,2008-03-03 22:00:00,22.608557330724373,-0.0,0.0,0.27364501953127274,0.13551195594426074,0.0
52.0,4.7,2008-03-03 23:00:00,0.10855733072437176,-0.0,0.0,0.30111083984377274,0.13549199641783558,0.0
52.0,4.7,2008-03-04 00:00:00,0.6123796505358745,-0.0,0.0,0.42830810546877274,0.13539956163323552,0.0
52.0,4.7,2008-03-04 01:00:00,1.6123796505358745,-0.0,0.0,0.35531005859377274,0.13545260961902328,0.0
52.0,4.7,2008-03-04 02:00:00,2.6123796505358747,-0.0,0.0,0.16027221679689774,0.13559434443389345,0.0
52.0,4.7,2008-03-04 03:00:00,3.6123796505358747,-0.0,0.0,0.08062133789064774,0.13565222706052643,0.0
52.0,4.7,2008-03-04 04:00:00,4.612379650535875,-0.0,0.0,-0.030310058593727263,0.13573284137003247,0.0
