Latitude,Longitude,GMT,Wind Speed at Hub Height,Air Density at Hub Height,Power Generation
52.0,4.7,2008-07-01 00:00:00,1.2828974906911306,1.2175011087186747,26
52.0,4.7,2008-07-01 01:00:00,1.715554941039191,1.2186934945813905,26
52.0,4.7,2008-07-01 02:00:00,2.15577046812693,1.219573209285495,26
52.0,4.7,2008-07-01 03:00:00,2.48524736235945,1.2208379936277092,26
52.0,4.7,2008-07-01 04:00:00,2.6993421354389424,1.2221113071399616,26
52.0,4.7,2008-07-01 05:00:00,2.6389098506759683,1.220044137271703,26
52.0,4.7,2008-07-01 06:00:00,2.3975784664657347,1.2099414454956339,25
52.0,4.7,2008-07-01 07:00:00,2.7614055765202368,1.200004213216011,25
52.0,4.7,2008-07-01 08:00:00,3.1112408783266154,1.1928960423804749,25
52.0,4.7,2008-07-01 09:00:00,3.3281045128612647,1.1864343392410972,68
52.0,4.7,2008-07-01 10:00:00,3.39500151892264,1.1807604656078199,68
52.0,4.7,2008-07-01 11:00:00,3.3441914394022367,1.1753371585843524,68
52.0,4.7,2008-07-01 12:00:00,3.220700338342201,1.1712753207781335,23
52.0,4.7,2008-07-01 13:00:00,3.079519329326312,1.1683004488095852,23
52.0,4.7,2008-07-01 14:00:00,3.119225141485434,1.1663379427648115,23
52.0,4.7,2008-07-01 15:00:00,3.304925239521481,1.1658101282073514,68
52.0,4.7,2008-07-01 16:00:00,3.883287125589472,1.1661271215118891,125
52.0,4.7,2008-07-01 17:00:00,4.597201994375867,1.1678632990815812,197
52.0,4.7,2008-07-01 18:00:00,4.987965504118749,1.1726024004886915,287
52.0,4.7,2008-07-01 19:00:00,5.765846748371545,1.1789043047468668,529
52.0,4.7,2008-07-01 20:00:00,6.34651267827761,1.1829551123226147,685
52.0,4.7,2008-07-01 21:00:00,6.79027423147771,1.1853256314971694,867
52.0,4.7,2008-07-01 22:00:00,7.061164649666933,1.1878884523809403,887
52.0,4.7,2008-07-01 23:00:00,7.187384411521831,1.1895777589365912,887
52.0,4.7,2008-07-02 00:00:00,7.348645098150288,1.1914198156080935,1102
52.0,4.7,2008-07-02 01:00:00,7.580630539745735,1.1929298410995954,1102
