Latitude,Longitude,GMT,Wind Speed at Hub Height,Air Density at Hub Height,Power Generation
52.0,4.7,2008-03-01 00:00:00,20.14988115756325,1.2093751747766686,3075
52.0,4.7,2008-03-01 01:00:00,20.05254095176278,1.2080603336341909,3075
52.0,4.7,2008-03-01 02:00:00,19.82801574300575,1.2075038520991392,3075
52.0,4.7,2008-03-01 03:00:00,19.78607480874771,1.2106142642808266,3075
52.0,4.7,2008-03-01 04:00:00,19.66327753560741,1.2154815043035556,3075
52.0,4.7,2008-03-01 05:00:00,19.491126161034533,1.2204563695812163,3075
52.0,4.7,2008-03-01 06:00:00,19.436808933610376,1.2240468230787076,3075
52.0,4.7,2008-03-01 07:00:00,19.4155950882191,1.2247441729306638,3075
52.0,4.7,2008-03-01 08:00:00,19.19917541209268,1.2238737558762844,3075
52.0,4.7,2008-03-01 09:00:00,18.38464989477583,1.2229281592142434,3075
52.0,4.7,2008-03-01 10:00:00,18.68384443242176,1.2229585959218865,3075
52.0,4.7,2008-03-01 11:00:00,18.605202433064633,1.2238656775144254,3075
52.0,4.7,2008-03-01 12:00:00,17.416345333169154,1.2258531582944703,3075
52.0,4.7,2008-03-01 13:00:00,16.65641348502988,1.228158945192636,3075
52.0,4.7,2008-03-01 14:00:00,14.57208232077735,1.2312493684541164,3075
52.0,4.7,2008-03-01 15:00:00,13.614542187666371,1.2333304778346978,3075
52.0,4.7,2008-03-01 16:00:00,13.110394677965013,1.235352138910829,3075
52.0,4.7,2008-03-01 17:00:00,13.22004568339094,1.2359783534657958,3075
52.0,4.7,2008-03-01 18:00:00,13.103792167634586,1.2353424922478984,3075
52.0,4.7,2008-03-01 19:00:00,13.187288122892417,1.2352446157135188,3075
52.0,4.7,2008-03-01 20:00:00,13.471340387884146,1.2361157855849698,3075
52.0,4.7,2008-03-01 21:00:00,13.807714513757496,1.236854167592154,3075
52.0,4.7,2008-03-01 22:00:00,14.027968119341152,1.2372956367694443,3075
52.0,4.7,2008-03-01 23:00:00,14.179536577696737,1.2375749121792856,3075
52.0,4.7,2008-03-02 00:00:00,14.83503111774419,1.2351818366667116,3075
52.0,4.7,2008-03-02 01:00:00,16.22443235924144,1.231204641370809,3075
52.0,4.7,2008-03-02 02:00:00,17.45027317012209,1.2266134532220305,3075
52.0,4.7,2008-03-02 03:00:00,17.721438987436755,1.2223275633307933,3075
52.0,4.7,2008-03-02 04:00:00,17.42991532595789,1.2203694478103329,3075
52.0,4.7,2008-03-02 05:00:00,16.823857749089996,1.2215002812998845,3075
52.0,4.7,2008-03-02 06:00:00,16.252580771708974,1.2246632947547682,3075
52.0,4.7,2008-03-02 07:00:00,15.652789253747294,1.2259479521650205,3075
52.0,4.7,2008-03-02 08:00:00,15.03182188442015,1.2260781275665154,3075
52.0,4.7,2008-03-02 09:00:00,14.652159980678418,1.2262486484779023,3075
52.0,4.7,2008-03-02 10:00:00,14.981275477057753,1.2263946900070093,3075
52.0,4.7,2008-03-02 11:00:00,14.385230868457239,1.2261723313277333,3075
52.0,4.7,2008-03-02 12:00:00,13.812069990250706,1.2260871709471888,3075
52.0,4.7,2008-03-02 13:00:00,13.314163678156515,1.2270472147867537,3075
52.0,4.7,2008-03-02 14:00:00,12.291830521316868,1.228806616305462,3073
52.0,4.7,2008-03-02 15:00:00,10.704411800650622,1.2319545837182957,2807
52.0,4.7,2008-03-02 16:00:00,9.992232563753246,1.2358533384616759,2572
52.0,4.7,2008-03-02 17:00:00,9.354194802479594,1.238722225705578,2317
52.0,4.7,2008-03-02 18:00:00,8.747653480993547,1.240198908785353,1687
52.0,4.7,2008-03-02 19:00:00,8.317806873309857,1.240518585597743,1687
52.0,4.7,2008-03-02 20:00:00,8.139314953425554,1.2403734543447664,1404
52.0,4.7,2008-03-02 21:00:00,8.263234529508308,1.240886072756586,1687
52.0,4.7,2008-03-02 22:00:00,8.471751984633995,1.2411055208072175,1687
52.0,4.7,2008-03-02 23:00:00,8.648123415943434,1.2410124086557264,1687
52.0,4.7,2008-03-03 00:00:00,8.7406919678839,1.241790676766147,1687
52.0,4.7,2008-03-03 01:00:00,8.799571291049608,1.2417197167102683,1995
52.0,4.7,2008-03-03 02:00:00,8.840566504652996,1.2413805288325739,1995
52.0,4.7,2008-03-03 03:00:00,8.755842275648385,1.2415705452197954,1995
52.0,4.7,2008-03-03 04:00:00,9.022557457958081,1.2421412889475834,1995
52.0,4.7,2008-03-03 05:00:00,10.03247286546242,1.2427488312775865,2615
52.0,4.7,2008-03-03 06:00:00,11.074263637926931,1.2427510066295044,3000
