Latitude,Longitude,GMT,Wind Speed at Hub Height,Air Density at Hub Height,Power Generation
52.0,4.7,2008-11-01 00:00:00,6.666795165920705,1.2555024097916476,733
52.0,4.7,2008-11-01 01:00:00,6.850329218855081,1.255975517851274,926
52.0,4.7,2008-11-01 02:00:00,7.115230191098276,1.2560350887524283,926
52.0,4.7,2008-11-01 03:00:00,7.179937123501671,1.2549737980779292,926
52.0,4.7,2008-11-01 04:00:00,7.077292008516957,1.2545577805559447,926
52.0,4.7,2008-11-01 05:00:00,7.1647738514733526,1.25428660464226,926
52.0,4.7,2008-11-01 06:00:00,7.222109706738159,1.2542256386978088,926
52.0,4.7,2008-11-01 07:00:00,7.320803063028594,1.2543830889759422,1150
52.0,4.7,2008-11-01 08:00:00,7.527136968220722,1.2527772074696246,1150
52.0,4.7,2008-11-01 09:00:00,7.943216488653674,1.2501365672905338,1404
52.0,4.7,2008-11-01 10:00:00,8.377658213462757,1.2468066756942833,1687
52.0,4.7,2008-11-01 11:00:00,8.746223126470445,1.2444043956248023,1687
52.0,4.7,2008-11-01 12:00:00,9.08521197324919,1.2431129210589351,1995
52.0,4.7,2008-11-01 13:00:00,9.525618607846873,1.2420862516590845,2317
52.0,4.7,2008-11-01 14:00:00,9.779632571435819,1.2417305081302805,2615
52.0,4.7,2008-11-01 15:00:00,9.95780204714948,1.2419471820974788,2615
52.0,4.7,2008-11-01 16:00:00,9.740821367121102,1.2423791827935984,2317
52.0,4.7,2008-11-01 17:00:00,9.192472381712053,1.241979761822749,1995
52.0,4.7,2008-11-01 18:00:00,8.910812502606955,1.2410937999251461,1995
52.0,4.7,2008-11-01 19:00:00,9.171531915517058,1.2400976686414846,1995
52.0,4.7,2008-11-01 20:00:00,9.007808280469721,1.2385420283259996,1995
52.0,4.7,2008-11-01 21:00:00,8.523904525310146,1.2381556919238883,1687
52.0,4.7,2008-11-01 22:00:00,7.7933433589612005,1.2392537038527447,1404
52.0,4.7,2008-11-01 23:00:00,7.142618025392522,1.2410460916658967,926
52.0,4.7,2008-11-02 00:00:00,6.652503592040538,1.2423412723848035,733
52.0,4.7,2008-11-02 01:00:00,6.6184855996605005,1.2431064951460133,733
52.0,4.7,2008-11-02 02:00:00,6.940754393626501,1.2445455189249113,926
52.0,4.7,2008-11-02 03:00:00,7.202582870050622,1.2459785993825918,926
52.0,4.7,2008-11-02 04:00:00,7.37108687053444,1.2476888442453313,1150
52.0,4.7,2008-11-02 05:00:00,7.408011947884256,1.250515042907988,1150
52.0,4.7,2008-11-02 06:00:00,7.301824019966019,1.2519709037786562,1150
52.0,4.7,2008-11-02 07:00:00,7.467591372524659,1.250978806457052,1150
52.0,4.7,2008-11-02 08:00:00,7.139610592869133,1.2496498586718021,926
52.0,4.7,2008-11-02 09:00:00,6.285739844203951,1.2457779494097385,733
52.0,4.7,2008-11-02 10:00:00,5.913679034323567,1.2412636648479543,567
52.0,4.7,2008-11-02 11:00:00,5.042740423262416,1.2381408988049352,309
52.0,4.7,2008-11-02 12:00:00,4.040419368529972,1.2352876933091093,132
52.0,4.7,2008-11-02 13:00:00,3.3343205674942213,1.2341508569286754,73
52.0,4.7,2008-11-02 14:00:00,3.3676932553751615,1.234651425162492,73
52.0,4.7,2008-11-02 15:00:00,4.224898012512246,1.2379589594780014,136
52.0,4.7,2008-11-02 16:00:00,5.110327079797976,1.2413348717122146,309
52.0,4.7,2008-11-02 17:00:00,5.760081941087623,1.2426163852288623,567
52.0,4.7,2008-11-02 18:00:00,6.308753266623262,1.243751435700499,733
52.0,4.7,2008-11-02 19:00:00,6.935894880591038,1.2450666798328782,926
52.0,4.7,2008-11-02 20:00:00,7.6450103718861415,1.2460360818301106,1150
52.0,4.7,2008-11-02 21:00:00,8.34730701295195,1.2469340588530577,1687
52.0,4.7,2008-11-02 22:00:00,8.99099017949315,1.2479638914034346,1995
52.0,4.7,2008-11-02 23:00:00,9.055042306429602,1.2499880808712014,1995
52.0,4.7,2008-11-03 00:00:00,8.78245243667843,1.2516482989733846,1995
52.0,4.7,2008-11-03 01:00:00,8.617229896322993,1.2530255932484797,1687
52.0,4.7,2008-11-03 02:00:00,8.348772824385005,1.252918784959662,1687
52.0,4.7,2008-11-03 03:00:00,8.322643196240952,1.2532405416903836,1687
52.0,4.7,2008-11-03 04:00:00,8.438727151069658,1.252885154218796,1687
52.0,4.7,2008-11-03 05:00:00,8.836337061913433,1.2532116329116583,1995
52.0,4.7,2008-11-03 06:00:00,8.633593263326025,1.2531773363758114,1687
52.0,4.7,2008-11-03 07:00:00,8.514194232835314,1.2528161211949733,1687
52.0,4.7,2008-11-03 08:00:00,7.906811550713746,1.2519538873293126,1404
52.0,4.7,2008-11-03 09:00:00,7.475961834352599,1.2509147297780494,1150
52.0,4.7,2008-11-03 10:00:00,6.900813568632225,1.2492976771279858,926
52.0,4.7,2008-11-03 11:00:00,6.219068879864476,1.2474060184230016,567
52.0,4.7,2008-11-03 12:00:00,5.676893737511957,1.245686844329689,426
52.0,4.7,2008-11-03 13:00:00,5.222959759879333,1.2438002023327086,309
52.0,4.7,2008-11-03 14:00:00,5.111930140479238,1.2426821980964777,309
52.0,4.7,2008-11-03 15:00:00,4.832812990870891,1.2428260155074444,309
52.0,4.7,2008-11-03 16:00:00,4.9428267898424965,1.243781070977106,309
52.0,4.7,2008-11-03 17:00:00,4.879733509673597,1.2444034209704964,309
52.0,4.7,2008-11-03 18:00:00,4.532208415124182,1.2453277916621226,213
52.0,4.7,2008-11-03 19:00:00,4.036214752449046,1.2460421203051613,136
52.0,4.7,2008-11-03 20:00:00,3.4709231484783825,1.2477518299042285,75
52.0,4.7,2008-11-03 21:00:00,2.719720826012096,1.2491669509888355,27
52.0,4.7,2008-11-03 22:00:00,2.0899653818509147,1.2510369907697216,27
52.0,4.7,2008-11-03 23:00:00,1.5580074567817999,1.2526952450433897,27
52.0,4.7,2008-11-04 00:00:00,1.4239499887403377,1.2546523256777382,27
52.0,4.7,2008-11-04 01:00:00,1.6773867312685948,1.2552996034360884,27
52.0,4.7,2008-11-04 02:00:00,2.1311947232962507,1.2572222869609317,27
52.0,4.7,2008-11-04 03:00:00,2.4908099304173428,1.2582278547712515,27
